track,test_session,test_drone,condition,test_lap_relative,lap_index_abs,n_frames,duration_s,median_err_m,p90_err_m,jump_rate
track-002,LO_s001,LiftOff_200,cross_drone,2,2,2490,25.02094602584839,1.4485279085661702,6.590582872813273,0.0
track-002,LO_s001,LiftOff_200,cross_drone,3,3,2577,25.9479341506958,1.583399948806342,7.86393053899125,0.05199844780752813
track-002,LO_s001,LiftOff_200,cross_drone,4,4,2353,23.624861001968384,1.928858510869503,9.375943505572803,0.07224819379515512
track-002,LO_s001,LiftOff_200,cross_drone,5,5,2443,24.526942014694214,1.4197454675174015,6.07740932420295,0.0
track-002,LO_s001,LiftOff_200,cross_drone,6,6,2345,23.54997706413269,2.015206159623119,6.6426339199367925,0.022601279317697228
track-003,MT_s001,MadTrainer,same_drone,1,2,2399,24.07281994819641,1.7365650965244015,7.879327064562125,0.07253022092538558
track-003,MT_s001,MadTrainer,same_drone,2,3,2509,25.18310308456421,3.2941331961720834,42.605005905157626,0.2303706656038262
track-003,MT_s001,MadTrainer,same_drone,3,4,2379,23.870803833007812,2.3077587366223327,29.369811003030367,0.18789407313997478
track-003,MT_s001,MadTrainer,same_drone,4,5,2395,24.11316990852356,2.172470056006688,57.79189565433823,0.3018789144050104
track-003,MT_s001,MadTrainer,same_drone,5,6,2267,22.73725199699402,1.0404321130604615,8.44797477608794,0.06043228936921041
track-003,MT_s001,MadTrainer,same_drone,6,7,2425,24.351916074752808,2.166894382817091,53.25806014704778,0.177319587628866
track-003,MT_s001,MadTrainer,same_drone,7,8,2294,23.01885485649109,3.1662570122455573,71.50835812825945,0.36006974716652135
track-003,MT_s001,MadTrainer,same_drone,8,9,2449,24.59890604019165,2.160803887737842,47.22691641562113,0.21273989383421804
track-003,MT_s001,MadTrainer,same_drone,9,10,2271,22.80271816253662,1.947898910917985,47.44460987764609,0.1576398062527521
track-003,MT_s002,MadTrainer,same_drone,1,2,2334,23.513516187667847,5.364704869056469,70.30443951109504,0.337617823479006
track-003,MT_s002,MadTrainer,same_drone,2,3,2328,23.386998891830444,2.8131901150719614,74.70671444673607,0.28436426116838487
track-003,MT_s002,MadTrainer,same_drone,3,4,2329,23.402969121932983,3.870047332086571,76.0518929332176,0.339201373980249
track-003,MT_s002,MadTrainer,same_drone,4,5,2215,22.255906105041504,2.594285701139299,61.38957521535456,0.31331828442437926
track-003,MT_s002,MadTrainer,same_drone,5,6,2259,22.67882513999939,2.9494300228467694,58.26697104040244,0.29924745462594066
track-003,MT_s002,MadTrainer,same_drone,6,7,2243,22.518959999084473,4.69609506886961,66.28747164609062,0.40436914846188143
track-003,MT_s002,MadTrainer,same_drone,7,8,2235,22.505472898483276,5.352743340490264,91.53358500869459,0.4080536912751678
track-003,MT_s002,MadTrainer,same_drone,8,9,2229,22.387006044387817,3.454338332985998,61.70135716602436,0.28488111260655
track-003,MT_s002,MadTrainer,same_drone,9,10,2234,22.42889904975891,6.758511559026488,53.897575541929264,0.4368845120859445
track-003,MT_s002,MadTrainer,same_drone,10,11,2199,22.080790996551514,5.649487452327207,70.75113792273585,0.4638472032742155
track-003,MT_s002,MadTrainer,same_drone,11,12,2128,21.384811878204346,1.8305212817469858,58.16060247377449,0.18233082706766918
track-003,MT_s003,MadTrainer,same_drone,1,2,2229,22.434842109680176,1.7394945782935736,11.896023226420473,0.08209959623149395
track-003,MT_s003,MadTrainer,same_drone,2,3,2163,21.75495982170105,2.1585614026589752,35.352626509183025,0.11742949607027277
track-003,MT_s003,MadTrainer,same_drone,3,4,2053,20.615396976470947,1.9753165074845782,12.141244490820899,0.09644422795908426
track-003,MT_s003,MadTrainer,same_drone,4,5,2114,21.216859102249146,1.572248527404355,29.66807120385239,0.1490066225165563
track-003,MT_s003,MadTrainer,same_drone,5,6,2101,21.094048023223877,1.5712695514756945,7.837524361487169,0.04902427415516421
