flight_id,drone,rate,drone_cond,mode,preset,obs_sigma,lap_index,n_frames,duration_s,median_err_m,p90_err_m,jump_rate
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,P+R_only,1.5,3,2536,25.37,3.859,22.643,0.1905
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,P+R_only,1.5,4,2455,24.54,1.075,6.668,0.0126
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,baseline,1.0,2,2466,24.77,1.674,18.757,0.1306
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,baseline,1.0,3,2524,25.35,2.305,46.375,0.1826
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,baseline,1.0,4,2443,24.53,0.498,2.832,0.0086
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,baseline,1.5,2,2466,24.77,1.6,9.12,0.056
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,baseline,1.5,3,2524,25.35,1.995,16.587,0.1173
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,baseline,1.5,4,2443,24.53,0.719,5.02,0.0074
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,no_thr,1.0,2,2466,24.77,2.684,32.356,0.2097
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,no_thr,1.0,3,2524,25.35,3.113,25.074,0.1902
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,no_thr,1.0,4,2443,24.53,0.669,3.82,0.007
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,no_thr,1.5,2,2466,24.77,2.218,34.446,0.1938
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,no_thr,1.5,3,2524,25.35,2.289,21.553,0.1395
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,no_thr,1.5,4,2443,24.53,0.962,7.897,0.0033
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,Thr+R,1.0,2,2466,24.77,4.962,100.955,0.3098
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,Thr+R,1.0,3,2524,25.35,18.036,114.626,0.5468
