flight_id,drone,rate,drone_cond,mode,preset,obs_sigma,n_laps,median_err_m,p90_err_m,jump_rate
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,P+R_only,1.0,3,3.429,50.822,0.181
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,P+R_only,1.5,3,2.536,20.994,0.128
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,R+Y_only,1.0,3,1.962,58.729,0.223
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,R+Y_only,1.5,3,1.79,40.237,0.16
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,Thr+P+R,1.0,3,6.247,112.003,0.341
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,Thr+P+R,1.5,3,2.032,42.26,0.179
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,Thr+R,1.0,3,31.523,115.918,0.556
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,Thr+R,1.5,3,7.722,111.122,0.431
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,Thr+R+Y,1.0,3,2.451,66.557,0.235
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,Thr+R+Y,1.5,3,3.259,51.386,0.248
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,Y+P+2R,1.0,3,1.934,40.003,0.173
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,Y+P+2R,1.5,3,1.827,17.449,0.108
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,angular_scaled,1.0,3,1.859,32.318,0.145
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,angular_scaled,1.5,3,1.639,15.956,0.082
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,baseline,1.0,3,2.14,45.469,0.172
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,baseline,1.5,3,1.833,54.27,0.194
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,no_thr,1.0,3,2.283,56.533,0.194
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,no_thr,1.5,3,1.906,30.093,0.137
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,soft_thr,1.0,3,1.589,41.56,0.154
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,soft_thr,1.5,3,1.408,16.451,0.107
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,P+R_only,1.0,3,4.054,43.33,0.216
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,P+R_only,1.5,3,2.937,45.959,0.194
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,R+Y_only,1.0,3,2.283,88.505,0.245
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,R+Y_only,1.5,3,1.849,25.055,0.154
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,Thr+P+R,1.0,3,2.875,51.292,0.204
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,Thr+P+R,1.5,3,1.986,42.974,0.188
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,Thr+R,1.0,3,37.038,111.056,0.654
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,Thr+R,1.5,3,8.604,80.422,0.402
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,Thr+R+Y,1.0,3,2.17,78.827,0.245
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,Thr+R+Y,1.5,3,3.82,88.923,0.277
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,Y+P+2R,1.0,3,2.455,24.672,0.114
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,Y+P+2R,1.5,3,1.974,20.092,0.126
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,angular_scaled,1.0,3,2.149,29.474,0.128
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,angular_scaled,1.5,3,1.802,20.314,0.111
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,baseline,1.0,3,1.856,44.481,0.181
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,baseline,1.5,3,1.897,55.055,0.184
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,no_thr,1.0,3,2.316,34.013,0.138
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,no_thr,1.5,3,2.15,32.31,0.141
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,soft_thr,1.0,3,1.462,19.655,0.104
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,soft_thr,1.5,3,1.478,18.43,0.101
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,P+R_only,1.0,3,4.551,72.217,0.242
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,P+R_only,1.5,3,3.713,31.386,0.125
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,R+Y_only,1.0,3,3.235,53.726,0.201
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,R+Y_only,1.5,3,2.237,28.826,0.116
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,Thr+P+R,1.0,3,25.654,109.912,0.526
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,Thr+P+R,1.5,3,7.351,84.149,0.34
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,Thr+R,1.0,3,62.277,134.36,0.745
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,Thr+R,1.5,3,34.723,102.804,0.605
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,Thr+R+Y,1.0,3,23.253,103.623,0.515
