ref_name,ref_variant,ref_pilot,flight_id,preset,sigma,seq,gate_id,s_gate_m,s_est_m,gate_err_m
Grom_4,sim,Gromozeka,RedSeep-S007,baseline,4.0,41,4,47.388526892541385,16.400657344764998,30.987869547776388
Grom_4,sim,Gromozeka,RedSeep-S007,baseline,4.0,42,5,54.841336256981506,14.948149236456793,39.893187020524714
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,2.0,11,2,30.601148194834188,31.728533210060995,1.1273850152268068
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,2.0,12,3,35.46557956935326,36.6162870500571,1.1507074807038435
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,2.0,13,4,47.388526892541385,35.53247130697639,11.856055585564995
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,2.0,14,5,54.841336256981506,26.307218576358807,28.5341176806227
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,2.0,15,6,66.90792826194613,79.21868786962655,12.310759607680424
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,2.0,16,7,72.15013573120596,73.69145122350886,1.5413154923028998
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,2.0,17,8,75.91000564377816,75.93272320514178,0.022717561363620575
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,2.0,18,9,81.1273760705135,81.07639877305573,0.050977297457777127
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,2.0,19,10,87.0158040302251,99.2285907539532,12.212786723728101
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,2.0,20,11,94.47179284508466,95.2912309131967,0.819438068112035
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,2.0,21,0,100.73933871666817,97.63356501930454,3.105773697363631
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,2.0,24,1,5.546193004467491,2.6009512494186904,2.9452417550488006
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,2.0,25,2,30.601148194834188,11.835319780425017,18.76582841440917
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,2.0,26,3,35.46557956935326,17.819474589015392,17.646104980337867
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,2.0,27,4,47.388526892541385,24.942185587921912,22.446341304619473
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,2.0,28,5,54.841336256981506,28.303987298349412,26.537348958632094
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,2.0,29,6,66.90792826194613,93.7209925955463,26.81306433360018
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,2.0,30,7,72.15013573120596,19.788954111114794,50.14868707753615
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,2.0,31,8,75.91000564377816,41.875105885654555,34.03489975812361
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,2.0,32,9,81.1273760705135,78.15815488270735,2.9692211878061556
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,2.0,33,10,87.0158040302251,89.00909177739896,1.9932877471738664
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,2.0,34,11,94.47179284508466,94.39937180199689,0.07242104308777186
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,2.0,35,0,100.73933871666817,99.99757174167381,0.7417669749943627
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,2.0,38,1,5.546193004467491,5.339790762816978,0.20640224165051269
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,2.0,39,2,30.601148194834188,11.486178534086266,19.114969660747924
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,2.0,40,3,35.46557956935326,22.72096291515805,12.744616654195209
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,2.0,41,4,47.388526892541385,26.715554223640876,20.67297266890051
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,2.0,42,5,54.841336256981506,29.655713011710393,25.185623245271113
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,4.0,11,2,30.601148194834188,24.373610009446782,6.227538185387406
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,4.0,12,3,35.46557956935326,30.22230414112389,5.243275428229371
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,4.0,13,4,47.388526892541385,34.01804069323046,13.370486199310925
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,4.0,14,5,54.841336256981506,32.794381989731754,22.046954267249752
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,4.0,15,6,66.90792826194613,62.53660293910129,4.371325322844832
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,4.0,16,7,72.15013573120596,41.246224337041326,30.903911394164638
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,4.0,17,8,75.91000564377816,49.16860086466914,26.741404779109025
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,4.0,18,9,81.1273760705135,76.08963136704945,5.037744703464057
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,4.0,19,10,87.0158040302251,98.27512309852888,11.259319068303782
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,4.0,20,11,94.47179284508466,97.47372999046479,3.0019371453801256
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,4.0,21,0,100.73933871666817,98.96851796260472,1.7708207540634504
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,4.0,24,1,5.546193004467491,0.458686078382062,5.087506926085429
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,4.0,25,2,30.601148194834188,11.106578513096773,19.494569681737417
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,4.0,26,3,35.46557956935326,16.36788946042118,19.09769010893208
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,4.0,27,4,47.388526892541385,27.10634844058803,20.282178451953357
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,4.0,28,5,54.841336256981506,30.15549282181557,24.685843435165935
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,4.0,29,6,66.90792826194613,61.98182600365005,4.926102258296076
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,4.0,30,7,72.15013573120596,33.25024089229985,38.899894838906114
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,4.0,31,8,75.91000564377816,40.257616560719526,35.65238908305864
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,4.0,32,9,81.1273760705135,68.4002631443958,12.727112926117712
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,4.0,33,10,87.0158040302251,92.70900017804391,5.69319614781881
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,4.0,34,11,94.47179284508466,95.59849042432815,1.1266975792434835
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,4.0,35,0,100.73933871666817,98.40640279044116,2.332935926227009
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,4.0,38,1,5.546193004467491,102.32009874385939,5.735962958235433
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,4.0,39,2,30.601148194834188,9.904111692533956,20.697036502300232
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,4.0,40,3,35.46557956935326,16.404349611394544,19.061229957958716
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,4.0,41,4,47.388526892541385,26.705400216937758,20.683126675603628
