ref_name,ref_pilot,ref_rate,flight_id,test_pilot,test_rate,pilot_cond,preset,lap_index,n_frames,duration_s,median_err_m,p90_err_m,jump_rate
GromFF_1,Gromozeka,Gromozeka_rate,Red-S2,RedSeep,RedSheep_rate,cross_pilot,no_thr,7,1726,17.334311962127686,4.465209508215207,126.06360879826016,0.3348783314020857
GromFF_1,Gromozeka,Gromozeka_rate,Red-S2,RedSeep,RedSheep_rate,cross_pilot,no_thr,8,1719,17.250370025634766,4.025560245390011,58.9825948420284,0.19546247818499127
GromFF_1,Gromozeka,Gromozeka_rate,Plat-S27,PlatOnAir,PlatOnAir_rate,cross_pilot,baseline,5,1669,16.767875909805298,12.203799295272159,83.68157407833455,0.4122228879568604
GromFF_1,Gromozeka,Gromozeka_rate,Plat-S27,PlatOnAir,PlatOnAir_rate,cross_pilot,baseline,6,1622,16.26730513572693,44.63459964610787,127.40151809783073,0.7268803945745993
GromFF_1,Gromozeka,Gromozeka_rate,Plat-S27,PlatOnAir,PlatOnAir_rate,cross_pilot,baseline,7,1615,16.196600914001465,16.7266837115656,100.44728447963433,0.5139318885448917
GromFF_1,Gromozeka,Gromozeka_rate,Plat-S27,PlatOnAir,PlatOnAir_rate,cross_pilot,angular_scaled,5,1669,16.767875909805298,2.551319521666329,12.52805748974339,0.0689035350509287
GromFF_1,Gromozeka,Gromozeka_rate,Plat-S27,PlatOnAir,PlatOnAir_rate,cross_pilot,angular_scaled,6,1622,16.26730513572693,2.451700517173382,8.798758314239942,0.03945745992601726
GromFF_1,Gromozeka,Gromozeka_rate,Plat-S27,PlatOnAir,PlatOnAir_rate,cross_pilot,angular_scaled,7,1615,16.196600914001465,2.597982590911144,31.91881501596369,0.265015479876161
GromFF_1,Gromozeka,Gromozeka_rate,Plat-S27,PlatOnAir,PlatOnAir_rate,cross_pilot,no_thr,5,1669,16.767875909805298,6.928009198697334,102.82091683060887,0.408627920910725
GromFF_1,Gromozeka,Gromozeka_rate,Plat-S27,PlatOnAir,PlatOnAir_rate,cross_pilot,no_thr,6,1622,16.26730513572693,3.896256313050543,120.27201367706832,0.3477188655980271
GromFF_1,Gromozeka,Gromozeka_rate,Plat-S27,PlatOnAir,PlatOnAir_rate,cross_pilot,no_thr,7,1615,16.196600914001465,9.024572596378036,103.28934244640382,0.43653250773993807
RedSeep_S2,RedSeep,RedSheep_rate,Grom-S4,Gromozeka,Gromozeka_rate,cross_pilot,baseline,13,2307,23.15007710456848,7.0648609238511995,93.72251380951299,0.36064152579107067
RedSeep_S2,RedSeep,RedSheep_rate,Grom-S4,Gromozeka,Gromozeka_rate,cross_pilot,baseline,14,2625,26.3830509185791,22.070243293501107,83.50483409882919,0.5836190476190476
RedSeep_S2,RedSeep,RedSheep_rate,Grom-S4,Gromozeka,Gromozeka_rate,cross_pilot,baseline,15,2334,23.44292402267456,28.265603914465487,107.21848432255935,0.6251071122536418
RedSeep_S2,RedSeep,RedSheep_rate,Grom-S4,Gromozeka,Gromozeka_rate,cross_pilot,angular_scaled,13,2307,23.15007710456848,5.445850154887296,45.43721710307134,0.23233636757693976
RedSeep_S2,RedSeep,RedSheep_rate,Grom-S4,Gromozeka,Gromozeka_rate,cross_pilot,angular_scaled,14,2625,26.3830509185791,12.350205755042055,103.2060468563657,0.4777142857142857
RedSeep_S2,RedSeep,RedSheep_rate,Grom-S4,Gromozeka,Gromozeka_rate,cross_pilot,angular_scaled,15,2334,23.44292402267456,5.408779910624176,24.83198032337025,0.21936589545844046
RedSeep_S2,RedSeep,RedSheep_rate,Grom-S4,Gromozeka,Gromozeka_rate,cross_pilot,no_thr,13,2307,23.15007710456848,5.697777025251156,100.87649140554703,0.3736454269614218
RedSeep_S2,RedSeep,RedSheep_rate,Grom-S4,Gromozeka,Gromozeka_rate,cross_pilot,no_thr,14,2625,26.3830509185791,7.055342093623153,94.89787888399779,0.4076190476190476
RedSeep_S2,RedSeep,RedSheep_rate,Grom-S4,Gromozeka,Gromozeka_rate,cross_pilot,no_thr,15,2334,23.44292402267456,9.989243819983813,105.88992889620536,0.41773778920308485
RedSeep_S2,RedSeep,RedSheep_rate,Red-S2,RedSeep,RedSheep_rate,same_pilot,baseline,6,1803,18.10832190513611,2.0110397237806836,15.290784156805366,0.10205213533000555
RedSeep_S2,RedSeep,RedSheep_rate,Red-S2,RedSeep,RedSheep_rate,same_pilot,baseline,7,1726,17.334311962127686,2.095450289091204,18.020396405965556,0.11761297798377753
RedSeep_S2,RedSeep,RedSheep_rate,Red-S2,RedSeep,RedSheep_rate,same_pilot,baseline,8,1719,17.250370025634766,2.460857765396284,23.354199903437852,0.1303083187899942
RedSeep_S2,RedSeep,RedSheep_rate,Red-S2,RedSeep,RedSheep_rate,same_pilot,angular_scaled,6,1803,18.10832190513611,2.7209266749294727,12.075676916414317,0.04991680532445923
RedSeep_S2,RedSeep,RedSheep_rate,Red-S2,RedSeep,RedSheep_rate,same_pilot,angular_scaled,7,1726,17.334311962127686,2.1111073408257965,21.246715422574653,0.14889918887601392
RedSeep_S2,RedSeep,RedSheep_rate,Red-S2,RedSeep,RedSheep_rate,same_pilot,angular_scaled,8,1719,17.250370025634766,2.8222104781751653,10.297151867270715,0.027341477603257707
RedSeep_S2,RedSeep,RedSheep_rate,Red-S2,RedSeep,RedSheep_rate,same_pilot,no_thr,6,1803,18.10832190513611,2.4168914333173177,10.453702876623577,0.026622296173044926
RedSeep_S2,RedSeep,RedSheep_rate,Red-S2,RedSeep,RedSheep_rate,same_pilot,no_thr,7,1726,17.334311962127686,2.0114619280583668,18.663947913527224,0.12746234067207415
RedSeep_S2,RedSeep,RedSheep_rate,Red-S2,RedSeep,RedSheep_rate,same_pilot,no_thr,8,1719,17.250370025634766,2.7212487363810283,11.106946213392387,0.0535194880744619
RedSeep_S2,RedSeep,RedSheep_rate,Plat-S27,PlatOnAir,PlatOnAir_rate,cross_pilot,baseline,5,1669,16.767875909805298,7.068355818783772,77.09625909746585,0.3181545835829838
RedSeep_S2,RedSeep,RedSheep_rate,Plat-S27,PlatOnAir,PlatOnAir_rate,cross_pilot,baseline,6,1622,16.26730513572693,8.73850645203333,94.76635476393876,0.41676942046855736
RedSeep_S2,RedSeep,RedSheep_rate,Plat-S27,PlatOnAir,PlatOnAir_rate,cross_pilot,baseline,7,1615,16.196600914001465,8.898330471967427,112.47324755384932,0.44272445820433437
RedSeep_S2,RedSeep,RedSheep_rate,Plat-S27,PlatOnAir,PlatOnAir_rate,cross_pilot,angular_scaled,5,1669,16.767875909805298,3.4601035640869497,69.55897296196638,0.29358897543439183
RedSeep_S2,RedSeep,RedSheep_rate,Plat-S27,PlatOnAir,PlatOnAir_rate,cross_pilot,angular_scaled,6,1622,16.26730513572693,5.680719233129619,49.6125328385264,0.29408138101109743
RedSeep_S2,RedSeep,RedSheep_rate,Plat-S27,PlatOnAir,PlatOnAir_rate,cross_pilot,angular_scaled,7,1615,16.196600914001465,5.128841182028022,62.705530247987426,0.3281733746130031
