ref_source,ref_drone,flight_id,test_drone,drone_cond,lap_selection,n_laps,smooth_w,test_lap,n_frames,duration_s,median_err_m,p90_err_m,jump_rate
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,3,15,4,2597,26.059934854507446,1.7778054005173942,6.8164461567126295,0.013092029264536002
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,3,15,5,2477,24.85981011390686,2.253736651287568,7.177935270885721,0.0
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,5,1,3,2509,25.217001914978027,1.7200063466380016,7.276514484743513,0.026703866082104424
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,5,1,4,2597,26.059934854507446,1.2896048028848952,4.847622396189816,0.011551790527531768
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,5,1,5,2477,24.85981011390686,1.57531129356326,6.009589437045054,0.0
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,5,3,3,2509,25.217001914978027,1.7574909143406217,7.212620280287573,0.013949780789159028
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,5,3,4,2597,26.059934854507446,1.4063527392177946,5.056468651056207,0.011551790527531768
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,5,3,5,2477,24.85981011390686,1.7726301379408653,6.210768542469717,0.0
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,5,5,3,2509,25.217001914978027,1.5185296279129261,7.925264220046445,0.037465125548027105
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,5,5,4,2597,26.059934854507446,1.2628166855117797,5.222310300068599,0.011551790527531768
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,5,5,5,2477,24.85981011390686,1.7724903120957016,6.390656995352971,0.0
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,5,9,3,2509,25.217001914978027,1.7167759288898878,7.165220952644191,0.005978477481068154
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,5,9,4,2597,26.059934854507446,1.433542693562373,5.684738916540153,0.011551790527531768
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,5,9,5,2477,24.85981011390686,1.8457266166620627,6.393354199946095,0.0
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,5,15,3,2509,25.217001914978027,1.869061266629103,7.875305697565809,0.027500996412913512
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,5,15,4,2597,26.059934854507446,1.844076911095442,6.6078963376644735,0.02464381979206777
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,5,15,5,2477,24.85981011390686,1.914805465469442,6.80509846007679,0.0
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,1,1,4,2353,23.624861001968384,1.7877688724758087,10.690847706552455,0.017849553761155972
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,1,1,5,2443,24.526942014694214,1.7662386165036743,6.450582455756024,0.0
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,1,1,6,2345,23.54997706413269,2.0259988923975243,6.495328003023524,0.0
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,1,3,4,2353,23.624861001968384,2.0318473542692175,10.750856347643946,0.02379940501487463
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,1,3,5,2443,24.526942014694214,1.8126847994279842,6.951250324023768,0.0057306590257879654
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,1,3,6,2345,23.54997706413269,2.2410668558146583,7.134775594033794,0.014072494669509595
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,1,5,4,2353,23.624861001968384,2.038423308377702,10.497985032004024,0.02889927751806205
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,1,5,5,2443,24.526942014694214,1.969600369726379,7.0205897752052175,0.020875972165370446
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,1,5,6,2345,23.54997706413269,2.1915175810560186,6.853287024003645,0.0
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,1,9,4,2353,23.624861001968384,2.019478322645938,9.326031852071623,0.01572460688482788
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,1,9,5,2443,24.526942014694214,1.9933350036504862,7.214123167200639,0.0
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,1,9,6,2345,23.54997706413269,2.382768198548405,7.5268050634353845,0.0
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,1,15,4,2353,23.624861001968384,2.3189647116749654,10.14170047071143,0.010624734381640459
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,1,15,5,2443,24.526942014694214,2.121752444502391,7.6430586741001445,0.0
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,1,15,6,2345,23.54997706413269,2.4488645133500313,7.514748831151598,0.0
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,3,1,4,2353,23.624861001968384,1.594504119074763,7.118893544988044,0.0
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,3,1,5,2443,24.526942014694214,1.4208417306805927,5.522687643693665,0.00040933278755628325
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,3,1,6,2345,23.54997706413269,1.7444300936573462,7.807327960922962,0.007249466950959489
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,3,3,4,2353,23.624861001968384,1.6884734203139828,7.400287403035112,0.014874628134296642
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,3,3,5,2443,24.526942014694214,1.6259678328765403,6.43193270929152,0.006958657388456815
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,3,3,6,2345,23.54997706413269,1.7527405403647265,7.709981955024672,0.006823027718550106
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,3,5,4,2353,23.624861001968384,1.7295951855845146,6.656643907997438,0.0
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,3,5,5,2443,24.526942014694214,1.476020542411561,5.9763431148168715,0.008595988538681949
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,3,5,6,2345,23.54997706413269,1.9385653600571118,12.730303262273402,0.06439232409381664
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,3,9,4,2353,23.624861001968384,2.028411196311069,9.689697684548648,0.05227369315767106
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,3,9,5,2443,24.526942014694214,1.5810153034563683,6.374545258420866,0.001637331150225133
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,3,9,6,2345,23.54997706413269,1.9397019731042349,8.939333768803214,0.012366737739872069
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,3,15,4,2353,23.624861001968384,2.119142862034195,7.311998682765424,0.0
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,3,15,5,2443,24.526942014694214,1.6538199971504923,6.923407718055633,0.010642652476463364
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,3,15,6,2345,23.54997706413269,2.2380625694284646,9.594134715116933,0.012366737739872069
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,5,1,4,2353,23.624861001968384,1.8055686759423395,8.092842409417242,0.06587335316617085
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,5,1,5,2443,24.526942014694214,1.4172280931128114,6.229869796860433,0.0
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,5,1,6,2345,23.54997706413269,1.8647840602103898,11.12068476673359,0.058422174840085286
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,5,3,4,2353,23.624861001968384,1.7902088000678447,8.128781497402947,0.06544836379090523
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,5,3,5,2443,24.526942014694214,1.4006188176691694,6.138364013082592,0.0
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,5,3,6,2345,23.54997706413269,1.8479371126029775,8.8615515709741,0.023454157782515993
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,5,5,4,2353,23.624861001968384,1.7943787023448863,6.134313773942558,0.0
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,5,5,5,2443,24.526942014694214,1.4963971848887354,6.786169700707498,0.0
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,5,5,6,2345,23.54997706413269,1.7548092341975803,8.693998530638618,0.018763326226012792
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,5,9,4,2353,23.624861001968384,1.9858429291728612,8.104024487450616,0.04547386315342117
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,5,9,5,2443,24.526942014694214,1.5675310265430653,7.104357908776092,0.0
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,5,9,6,2345,23.54997706413269,2.080989267861881,13.015916667520155,0.06055437100213219
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,5,15,4,2353,23.624861001968384,2.260281116801764,9.543893599647802,0.06629834254143646
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,5,15,5,2443,24.526942014694214,1.7524586297637939,7.083505274155005,0.0
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,fastest,5,15,6,2345,23.54997706413269,2.7893371580957655,30.87680144778379,0.15394456289978678
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,median_time,1,1,4,2353,23.624861001968384,1.384592584440007,8.38730430812132,0.00764980875478113
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,median_time,1,1,5,2443,24.526942014694214,1.2990551697879495,5.50712510636954,0.0
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,median_time,1,1,6,2345,23.54997706413269,1.9549253554330903,10.90230255500699,0.06140724946695096
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,median_time,1,3,4,2353,23.624861001968384,1.6227673819058168,8.172050006073249,0.011049723756906077
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,median_time,1,3,5,2443,24.526942014694214,1.265719425970076,5.746661232462283,0.0
