ref_name,ref_drone,ref_rate,flight_id,test_drone,test_rate,drone_cond,rate_cond,condition,preset,lap_index,n_frames,duration_s,median_err_m,p90_err_m,jump_rate
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,1,MadTrainer,Gromozeka_rate,cross_drone,same_rate,cross_drone_same_rate,no_thr,2,2466,24.773011922836304,2.4264033960181735,25.236710363280253,0.18937550689375507
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,1,MadTrainer,Gromozeka_rate,cross_drone,same_rate,cross_drone_same_rate,no_thr,3,2524,25.354163885116577,2.8274887961071578,12.225015412967808,0.08478605388272584
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,1,MadTrainer,Gromozeka_rate,cross_drone,same_rate,cross_drone_same_rate,no_thr,4,2443,24.53096318244934,2.8399428670633142,25.871929754511804,0.15063446582071224
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,2,MadTrainer,RedSheep_rate,cross_drone,cross_rate,cross_drone_cross_rate,baseline,3,2509,25.217001914978027,4.258477638461045,43.7006974215203,0.21203666799521723
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,2,MadTrainer,RedSheep_rate,cross_drone,cross_rate,cross_drone_cross_rate,baseline,4,2597,26.059934854507446,2.7214487570655876,40.74072671382433,0.2764728532922603
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,2,MadTrainer,RedSheep_rate,cross_drone,cross_rate,cross_drone_cross_rate,baseline,5,2477,24.85981011390686,4.492655856093204,67.11469324609666,0.2692773516350424
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,2,MadTrainer,RedSheep_rate,cross_drone,cross_rate,cross_drone_cross_rate,angular_scaled,3,2509,25.217001914978027,2.180454542357424,13.816097777921541,0.09166998804304503
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,2,MadTrainer,RedSheep_rate,cross_drone,cross_rate,cross_drone_cross_rate,angular_scaled,4,2597,26.059934854507446,2.510737572669683,16.674718283706905,0.10935695032730074
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,2,MadTrainer,RedSheep_rate,cross_drone,cross_rate,cross_drone_cross_rate,angular_scaled,5,2477,24.85981011390686,3.0963634281693544,21.035198391821194,0.1869196608800969
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,2,MadTrainer,RedSheep_rate,cross_drone,cross_rate,cross_drone_cross_rate,no_thr,3,2509,25.217001914978027,3.283513811779187,87.48671208540004,0.20844958150657633
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,2,MadTrainer,RedSheep_rate,cross_drone,cross_rate,cross_drone_cross_rate,no_thr,4,2597,26.059934854507446,2.597397487517526,29.944001491300117,0.12591451675009627
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,2,MadTrainer,RedSheep_rate,cross_drone,cross_rate,cross_drone_cross_rate,no_thr,5,2477,24.85981011390686,4.054324078959269,50.19355027549788,0.2797739200645943
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,3,LiftOff_200,Gromozeka_rate,same_drone,same_rate,same_drone_same_rate,baseline,4,2353,23.624861001968384,2.423066316616058,12.353427312736892,0.07904802379940501
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,3,LiftOff_200,Gromozeka_rate,same_drone,same_rate,same_drone_same_rate,baseline,5,2443,24.526942014694214,1.4607052224129404,17.244529146773353,0.11174785100286533
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,3,LiftOff_200,Gromozeka_rate,same_drone,same_rate,same_drone_same_rate,baseline,6,2345,23.54997706413269,2.4713308101043197,10.842824844180859,0.07633262260127932
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,3,LiftOff_200,Gromozeka_rate,same_drone,same_rate,same_drone_same_rate,angular_scaled,4,2353,23.624861001968384,2.382405105620208,18.157865760881208,0.1576710582235444
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,3,LiftOff_200,Gromozeka_rate,same_drone,same_rate,same_drone_same_rate,angular_scaled,5,2443,24.526942014694214,1.5527827314552383,16.130521002645526,0.10642652476463364
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,3,LiftOff_200,Gromozeka_rate,same_drone,same_rate,same_drone_same_rate,angular_scaled,6,2345,23.54997706413269,2.6730308683185626,13.609901797511126,0.09893390191897655
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,3,LiftOff_200,Gromozeka_rate,same_drone,same_rate,same_drone_same_rate,no_thr,4,2353,23.624861001968384,2.4622392513281,32.62907889349787,0.27879303017424567
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,3,LiftOff_200,Gromozeka_rate,same_drone,same_rate,same_drone_same_rate,no_thr,5,2443,24.526942014694214,1.4310882863044299,15.735231746200192,0.11133851821530905
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,3,LiftOff_200,Gromozeka_rate,same_drone,same_rate,same_drone_same_rate,no_thr,6,2345,23.54997706413269,2.585437949526437,9.307379339046735,0.0767590618336887
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,4,LiftOff_200,RedSheep_rate,same_drone,cross_rate,same_drone_cross_rate,baseline,3,2514,25.249022006988525,2.420554622151725,9.807152731704788,0.07080350039777247
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,4,LiftOff_200,RedSheep_rate,same_drone,cross_rate,same_drone_cross_rate,baseline,4,2314,23.20598602294922,1.8269023247639353,19.276481760510734,0.12662057044079517
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,4,LiftOff_200,RedSheep_rate,same_drone,cross_rate,same_drone_cross_rate,baseline,5,2252,22.615839958190918,1.7671666712312302,10.606882923520212,0.08658969804618118
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,4,LiftOff_200,RedSheep_rate,same_drone,cross_rate,same_drone_cross_rate,angular_scaled,3,2514,25.249022006988525,2.2743561983755285,9.633840037477741,0.07438345266507558
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,4,LiftOff_200,RedSheep_rate,same_drone,cross_rate,same_drone_cross_rate,angular_scaled,4,2314,23.20598602294922,2.0403374315300056,16.07373841577696,0.10760587726879861
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,4,LiftOff_200,RedSheep_rate,same_drone,cross_rate,same_drone_cross_rate,angular_scaled,5,2252,22.615839958190918,1.6220116105975038,7.534299229897658,0.08570159857904085
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,4,LiftOff_200,RedSheep_rate,same_drone,cross_rate,same_drone_cross_rate,no_thr,3,2514,25.249022006988525,2.910942766561462,24.03173058380693,0.1435958631662689
