preset,obs_sigma,process_noise_v,drone_cond,p90_err_m,median_err_m,jump_rate,n_laps
no_thr,1.0,8.0,same_drone,41.679986903647745,2.7940102189243157,0.15295125708020732,6
no_thr,1.5,1.0,cross_drone,33.11499597809864,2.819483461901672,0.12834101180303645,6
no_thr,1.5,1.0,same_drone,51.780229606463756,3.01972139938839,0.16668480240885067,6
no_thr,1.5,2.0,cross_drone,37.378731578741856,2.27385883424263,0.1219835620194044,6
no_thr,1.5,2.0,same_drone,25.61120707160534,2.4703941170344,0.13527165862001136,6
no_thr,1.5,3.0,cross_drone,20.518754524870836,2.0719137074716514,0.09184186417585843,6
no_thr,1.5,3.0,same_drone,23.137788798753746,2.3913525052147278,0.12625121906869716,6
no_thr,1.5,5.0,cross_drone,16.345644122620296,2.034863121159042,0.05778339213635791,6
no_thr,1.5,5.0,same_drone,19.395102285818016,2.332378918235261,0.09104232664630667,6
no_thr,1.5,8.0,cross_drone,16.384418691032824,1.972344616145655,0.04577082267951754,6
no_thr,1.5,8.0,same_drone,13.194192577160893,2.109751231167465,0.07990330421325026,6
no_thr,2.0,1.0,cross_drone,11.807187973920962,2.1025219867767277,0.05401879387366549,6
no_thr,2.0,1.0,same_drone,21.73433332420683,2.4510937716109757,0.11964615617535458,6
no_thr,2.0,2.0,cross_drone,16.564504175452594,1.9622301820728734,0.09814507346769157,6
no_thr,2.0,2.0,same_drone,20.795141625406504,2.041884615167293,0.11972038080717089,6
no_thr,2.0,3.0,cross_drone,10.69616496749198,1.8091462797795248,0.04300705492769166,6
no_thr,2.0,3.0,same_drone,17.276122329903803,2.6010384224374596,0.11343076531978735,6
no_thr,2.0,5.0,cross_drone,8.7045210753183,1.9662635947120126,0.02680044568347179,6
no_thr,2.0,5.0,same_drone,11.200872688791613,1.9786804919722851,0.052393699905948395,6
no_thr,2.0,8.0,cross_drone,7.8257208757671926,2.0361910308394413,0.012360686337964569,6
no_thr,2.0,8.0,same_drone,8.784499685960817,2.0474188644304827,0.032246831767586026,6
no_thr,2.5,1.0,cross_drone,12.682679754905747,2.278610273619718,0.06072904692078992,6
no_thr,2.5,1.0,same_drone,20.956218365652862,2.726033700424851,0.12270541135733333,6
no_thr,2.5,2.0,cross_drone,14.905258263326225,1.84836426300098,0.08990150072168133,6
no_thr,2.5,2.0,same_drone,18.041521647703537,1.9967790183695726,0.11542988313846929,6
no_thr,2.5,3.0,cross_drone,13.87929979569789,1.8527393958206926,0.07779251200400748,6
no_thr,2.5,3.0,same_drone,14.693548926408331,1.7987834275329018,0.09267470119264715,6
no_thr,2.5,5.0,cross_drone,10.566723070829784,1.988122597147677,0.03815616781080356,6
no_thr,2.5,5.0,same_drone,12.150885883099091,1.8593212061602056,0.0615219023105203,6
no_thr,2.5,8.0,cross_drone,8.592083463730093,2.207741739301189,0.023682223475371727,6
no_thr,2.5,8.0,same_drone,10.094226371232557,2.1362837033838598,0.042117552166907095,6
no_thr,3.0,1.0,cross_drone,13.690214443063667,2.4725736454952423,0.07951969044919496,6
no_thr,3.0,1.0,same_drone,17.72168579768569,2.6808265663495376,0.11027325428163022,6
no_thr,3.0,2.0,cross_drone,16.282134706689437,2.0563960247301174,0.09801007822700447,6
no_thr,3.0,2.0,same_drone,16.52233939598814,2.027945053580757,0.10667109048367597,6
no_thr,3.0,3.0,cross_drone,14.01087066678884,1.8841104747482262,0.08386293361119262,6
no_thr,3.0,3.0,same_drone,14.132300297033183,1.7707532112548738,0.09480289226115797,6
no_thr,3.0,5.0,cross_drone,11.309784586689979,2.0852272963335388,0.06189790821808003,6
no_thr,3.0,5.0,same_drone,12.549368965301452,1.960627463580451,0.07747572800612161,6
no_thr,3.0,8.0,cross_drone,9.843548029215729,2.3107488313869147,0.039138866694536305,6
no_thr,3.0,8.0,same_drone,10.55926712781356,2.313634817409541,0.047537637917392815,6
soft_thr,0.5,1.0,cross_drone,93.51141570865013,3.448044693522654,0.2747763574544821,6
soft_thr,0.5,1.0,same_drone,82.42809202159707,6.0518013909022885,0.3068130426284269,6
soft_thr,0.5,2.0,cross_drone,103.36038423116013,5.80941927553526,0.3131456292365868,6
