flight_id,drone,rate,drone_cond,preset,obs_sigma,process_noise_v,lap_index,n_frames,duration_s,median_err_m,p90_err_m,jump_rate
3,LiftOff_200,Gromozeka_rate,cross_drone,no_thr,0.5,1.0,4,2353,23.624861001968384,2.782849970517873,85.44937659369755,0.20739481512962177
3,LiftOff_200,Gromozeka_rate,cross_drone,no_thr,0.5,1.0,5,2443,24.526942014694214,4.411799431657386,100.65693509309389,0.3029062627916496
3,LiftOff_200,Gromozeka_rate,cross_drone,no_thr,0.5,1.0,6,2345,23.54997706413269,4.5003021458080354,111.28689382752921,0.302771855010661
4,LiftOff_200,RedSheep_rate,cross_drone,no_thr,0.5,1.0,3,2514,25.249022006988525,4.1223922017833985,87.04921807285078,0.3349244232299125
4,LiftOff_200,RedSheep_rate,cross_drone,no_thr,0.5,1.0,4,2314,23.20598602294922,4.937654991981683,115.20912777232567,0.3915298184961106
4,LiftOff_200,RedSheep_rate,cross_drone,no_thr,0.5,1.0,5,2252,22.615839958190918,7.024810087889918,129.4920059756361,0.42362344582593253
1,MadTrainer,Gromozeka_rate,same_drone,no_thr,0.5,2.0,2,2466,24.773011922836304,3.33765926608519,98.57244189077079,0.3146796431467964
1,MadTrainer,Gromozeka_rate,same_drone,no_thr,0.5,2.0,3,2524,25.354163885116577,2.783239004334021,103.57344927857001,0.2816957210776545
1,MadTrainer,Gromozeka_rate,same_drone,no_thr,0.5,2.0,4,2443,24.53096318244934,0.4986876728564198,2.9272752698399067,0.006549324600900532
2,MadTrainer,RedSheep_rate,same_drone,no_thr,0.5,2.0,3,2509,25.217001914978027,4.971889258307897,103.04775858145209,0.38461538461538464
2,MadTrainer,RedSheep_rate,same_drone,no_thr,0.5,2.0,4,2597,26.059934854507446,10.142847342320238,121.18079841995014,0.44435887562572196
2,MadTrainer,RedSheep_rate,same_drone,no_thr,0.5,2.0,5,2477,24.85981011390686,9.199890108425251,93.18397883259401,0.44448930157448524
3,LiftOff_200,Gromozeka_rate,cross_drone,no_thr,0.5,2.0,4,2353,23.624861001968384,2.9593140944121643,108.76401314068258,0.2681682957926052
3,LiftOff_200,Gromozeka_rate,cross_drone,no_thr,0.5,2.0,5,2443,24.526942014694214,2.7929206543428506,87.71583800795817,0.2762996316004912
3,LiftOff_200,Gromozeka_rate,cross_drone,no_thr,0.5,2.0,6,2345,23.54997706413269,3.6076945261612536,90.06972145235572,0.30149253731343284
4,LiftOff_200,RedSheep_rate,cross_drone,no_thr,0.5,2.0,3,2514,25.249022006988525,7.993522918547399,103.47432649217738,0.4399363564041368
4,LiftOff_200,RedSheep_rate,cross_drone,no_thr,0.5,2.0,4,2314,23.20598602294922,3.0962627744031153,95.88356272696747,0.26188418323249785
4,LiftOff_200,RedSheep_rate,cross_drone,no_thr,0.5,2.0,5,2252,22.615839958190918,9.903830229167085,109.56006178631483,0.43960923623445824
1,MadTrainer,Gromozeka_rate,same_drone,no_thr,0.5,3.0,2,2466,24.773011922836304,2.216389084295127,77.96879476443294,0.20316301703163017
1,MadTrainer,Gromozeka_rate,same_drone,no_thr,0.5,3.0,3,2524,25.354163885116577,3.392230876526288,109.59948215222101,0.29397781299524567
1,MadTrainer,Gromozeka_rate,same_drone,no_thr,0.5,3.0,4,2443,24.53096318244934,0.42854528082031607,2.297312492013299,0.0
2,MadTrainer,RedSheep_rate,same_drone,no_thr,0.5,3.0,3,2509,25.217001914978027,7.790177901841048,104.90386337299446,0.43324033479473895
2,MadTrainer,RedSheep_rate,same_drone,no_thr,0.5,3.0,4,2597,26.059934854507446,8.957013094002491,99.67877854700433,0.4066230265691182
2,MadTrainer,RedSheep_rate,same_drone,no_thr,0.5,3.0,5,2477,24.85981011390686,22.70286466595155,113.95671028710184,0.5490512716996366
3,LiftOff_200,Gromozeka_rate,cross_drone,no_thr,0.5,3.0,4,2353,23.624861001968384,2.6134928521157974,94.22585265870441,0.20739481512962177
3,LiftOff_200,Gromozeka_rate,cross_drone,no_thr,0.5,3.0,5,2443,24.526942014694214,2.6297731318987303,102.91307716258595,0.23986901350798198
3,LiftOff_200,Gromozeka_rate,cross_drone,no_thr,0.5,3.0,6,2345,23.54997706413269,3.2065865869180357,90.82951662206955,0.2823027718550107
4,LiftOff_200,RedSheep_rate,cross_drone,no_thr,0.5,3.0,3,2514,25.249022006988525,7.186821992734025,114.32354147097222,0.403739061256961
4,LiftOff_200,RedSheep_rate,cross_drone,no_thr,0.5,3.0,4,2314,23.20598602294922,3.9363160528375545,121.97106083177023,0.38504753673293
4,LiftOff_200,RedSheep_rate,cross_drone,no_thr,0.5,3.0,5,2252,22.615839958190918,6.688104344737894,114.40335593202937,0.44271758436944936
1,MadTrainer,Gromozeka_rate,same_drone,no_thr,0.5,5.0,2,2466,24.773011922836304,4.011450667872184,71.643490835049,0.32035685320356855
1,MadTrainer,Gromozeka_rate,same_drone,no_thr,0.5,5.0,3,2524,25.354163885116577,3.680579509761275,109.60448472194919,0.3161648177496038
1,MadTrainer,Gromozeka_rate,same_drone,no_thr,0.5,5.0,4,2443,24.53096318244934,0.4124318546311656,1.9029249193076698,0.0
2,MadTrainer,RedSheep_rate,same_drone,no_thr,0.5,5.0,3,2509,25.217001914978027,12.99388018032576,110.1601293658168,0.48266241530490234
