condition,test_session,sigma_cam,T_update,seed,test_lap_relative,lap_index_abs,n_frames,duration_s,median_err_m,p90_err_m,jump_rate
same_drone,MT_s004,1.0,0.2,2,11,11,2666,26.786911964416504,0.7222778581003197,5.729223699403931,0.03188297074268567
same_drone,MT_s004,1.0,0.2,2,12,12,2344,23.593735933303833,0.7512102816414057,2.168815531443859,0.0
same_drone,MT_s004,1.0,0.2,2,13,13,2307,23.15007710456848,0.7262933861830589,1.994956344201387,0.0
same_drone,MT_s004,1.0,0.2,2,14,14,2625,26.3830509185791,0.7840808943436315,2.222387411950548,0.0
same_drone,MT_s004,1.0,0.2,2,15,15,2334,23.44292402267456,0.7441534876163587,2.1595143115107374,0.0
same_drone,MT_s004,1.0,0.2,3,1,1,2472,24.886879920959473,0.7910340898103883,2.1661915374924385,0.0
same_drone,MT_s004,1.0,0.2,3,2,2,2524,25.33614683151245,0.7306846903577977,2.364459535871546,0.0003961965134706815
same_drone,MT_s004,1.0,0.2,3,3,3,2665,26.740379095077515,0.6456902422505948,2.067078689037507,0.0
same_drone,MT_s004,1.0,0.2,3,4,4,2618,26.25896406173706,0.7198148797859929,1.799147430505687,0.0
same_drone,MT_s004,1.0,0.2,3,5,5,2530,25.401978969573975,0.6522979128437623,1.5264818987796833,0.0
same_drone,MT_s004,1.0,0.2,3,6,6,2525,25.403844833374023,0.8124008809173517,2.80229802832975,0.004356435643564357
same_drone,MT_s004,1.0,0.2,3,7,7,2722,27.329137802124023,0.8492437630854965,6.848211017920091,0.027553269654665688
same_drone,MT_s004,1.0,0.2,3,8,8,2312,23.212925910949707,0.7027981233015339,1.8786080706473016,0.0
same_drone,MT_s004,1.0,0.2,3,9,9,2312,23.21662998199463,0.7608479053900794,2.213639978256721,0.0
same_drone,MT_s004,1.0,0.2,3,10,10,2346,23.52618908882141,0.7422546156943248,2.20345889585046,0.013640238704177323
same_drone,MT_s004,1.0,0.2,3,11,11,2666,26.786911964416504,0.7560152264327229,3.865085272415719,0.003000750187546887
same_drone,MT_s004,1.0,0.2,3,12,12,2344,23.593735933303833,0.7578620936248512,2.256717244658432,0.0
same_drone,MT_s004,1.0,0.2,3,13,13,2307,23.15007710456848,0.7304969349722761,1.9826117441976439,0.0
same_drone,MT_s004,1.0,0.2,3,14,14,2625,26.3830509185791,0.7343059756202024,1.9653412439076612,0.0
same_drone,MT_s004,1.0,0.2,3,15,15,2334,23.44292402267456,0.714274255565094,2.1657575599521857,0.0
same_drone,MT_s004,1.0,0.2,4,1,1,2472,24.886879920959473,0.7353873377015034,1.9333485942147781,0.0
same_drone,MT_s004,1.0,0.2,4,2,2,2524,25.33614683151245,0.7949205297906587,2.2195742461954877,0.0
same_drone,MT_s004,1.0,0.2,4,3,3,2665,26.740379095077515,0.6455703665196211,2.365884165205162,0.0
same_drone,MT_s004,1.0,0.2,4,4,4,2618,26.25896406173706,0.6656070079802276,1.9159136097492322,0.0
same_drone,MT_s004,1.0,0.2,4,5,5,2530,25.401978969573975,0.6200174764345796,1.6948901171050772,0.0
same_drone,MT_s004,1.0,0.2,4,6,6,2525,25.403844833374023,0.7661204151693539,2.368571327239229,0.007920792079207921
same_drone,MT_s004,1.0,0.2,4,7,7,2722,27.329137802124023,0.7791478821318094,6.359255218748172,0.022409992652461425
same_drone,MT_s004,1.0,0.2,4,8,8,2312,23.212925910949707,0.6381306031532361,1.6158453074354102,0.005190311418685121
