condition,sigma_cam,T_update,n_records,mean_p90,median_p90,std_p90,mean_median_err,mean_jump,baseline_p90,improvement_pct
same_drone,5.0,2.0,75,7.707846402631143,5.490288659786816,8.744965660167832,1.6043651799339,0.02499187322395373,12.357658780820094,37.626968511266625
same_drone,5.0,5.0,75,10.474193546286905,5.753957309369163,16.34887590909349,1.6644360342846682,0.032733352470990136,12.357658780820094,15.241278853373519
same_drone,10.0,0.2,75,5.724767805163449,4.943259681641677,2.6025238662890686,1.4819760917733957,0.013730782367839301,12.357658780820094,53.67433340975016
same_drone,10.0,0.5,75,6.867453033060265,5.1409930251640965,4.767745071427033,1.5791001409462562,0.021667369997735837,12.357658780820094,44.427555778453694
same_drone,10.0,1.0,75,9.470219855354228,5.55566955086859,14.42668877615195,1.6233780797622144,0.028937182508347144,12.357658780820094,23.365582240766848
same_drone,10.0,2.0,75,12.03487583548593,5.664587626887664,19.801024913812885,1.675293969273694,0.0348439354030209,12.357658780820094,2.612007266579841
same_drone,10.0,5.0,75,13.207353820075703,5.4931537684918395,22.491274666072407,1.6917936957506576,0.039571840140260606,12.357658780820094,-6.875857752071868
same_drone,20.0,0.2,75,10.019067740171083,5.38145028534052,15.192506465684685,1.6073158669338292,0.028737057678321628,12.357658780820094,18.924224095575926
same_drone,20.0,0.5,75,10.4649298233521,5.502077683918212,15.648424487108253,1.6720803876368937,0.031245561443380344,12.357658780820094,15.316242267553415
same_drone,20.0,1.0,75,12.872023090951021,6.018656938096514,22.007894044503175,1.6864542008525971,0.03927914382605934,12.357658780820094,-4.162311965833321
same_drone,20.0,2.0,75,12.826890727707575,5.892264031173412,21.224049752830574,1.729466616120263,0.04180529288800314,12.357658780820094,-3.7970942167116606
same_drone,20.0,5.0,75,12.827459194145392,5.68652497760462,21.060248211457022,1.6920500170408255,0.03820696938455057,12.357658780820094,-3.8016943310852813
